Defaulted container "flux-osu-efa" out of: flux-osu-efa, flux-view (init)
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       1.34
2                       2.78
4                       5.69
8                      11.31
16                     22.64
32                     45.59
64                     84.55
128                   168.64
256                   333.94
512                   659.43
1024                 1236.64
2048                 2137.45
4096                 3649.07
8192                 6194.80
16384                7804.48
32768                9494.40
65536               11258.00
131072              13441.10
262144              13765.67
524288              13935.76
1048576             23420.80
2097152             23839.61
4194304             24121.86
