Defaulted container "flux-osu-efa" out of: flux-osu-efa, flux-view (init)

# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                     161.85
8                     173.65
16                    163.61
32                    160.39
64                    172.88
128                   158.37
256                   160.04
512                   181.72
1024                  180.10
2048                  185.66
4096                  282.47
8192                  257.88
16384                 278.66
32768                 305.17
65536                 325.99
131072                444.68
262144                708.15
524288               1359.27
1048576              2394.74
