Defaulted container "flux-osu-efa" out of: flux-osu-efa, flux-view (init)
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       1.28
2                       2.69
4                       5.49
8                      11.01
16                     21.94
32                     43.74
64                     82.32
128                   163.84
256                   326.99
512                   640.63
1024                 1208.61
2048                 2093.13
4096                 3576.95
8192                 6026.56
16384                7722.70
32768                9435.30
65536               10670.62
131072              13356.95
262144              13736.58
524288              13968.48
1048576             23338.78
2097152             23821.45
4194304             24108.10
