Defaulted container "flux-osu-efa" out of: flux-osu-efa, flux-view (init)
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      12.70
1                      12.74
2                      12.72
4                      12.72
8                      13.04
16                     13.06
32                     13.07
64                     13.22
128                    13.21
256                    13.25
512                    13.32
1024                   13.46
2048                   13.82
4096                   14.71
8192                   16.60
16384                  17.18
32768                  18.45
65536                  20.98
131072                 53.63
262144                 63.86
524288                112.96
1048576                95.60
2097152               171.04
4194304               265.57
