Defaulted container "flux-osu-efa" out of: flux-osu-efa, flux-view (init)

# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                     169.49
8                     202.92
16                    185.64
32                    173.87
64                    184.16
128                   223.97
256                   188.20
512                   182.04
1024                  199.47
2048                  210.92
4096                  309.44
8192                  280.12
16384                 349.94
32768                 418.11
65536                 407.62
131072                535.85
262144                770.70
524288               1600.10
1048576              2689.71
