Defaulted container "flux-osu-efa" out of: flux-osu-efa, flux-view (init)

# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      77.91
8                      70.28
16                     70.82
32                     66.63
64                     67.34
128                    68.38
256                    73.46
512                    72.39
1024                   73.22
2048                   74.89
4096                  117.52
8192                  131.76
16384                 165.06
32768                 234.10
65536                 383.23
131072                855.32
262144                644.06
524288               1176.04
1048576              2230.64
