Defaulted container "flux-osu-efa" out of: flux-osu-efa, flux-view (init)

# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                     200.63
8                     187.51
16                    176.84
32                    171.46
64                    176.15
128                   230.08
256                   181.67
512                   187.32
1024                  177.83
2048                  190.11
4096                  259.95
8192                  248.69
16384                 262.06
32768                 285.52
65536                 313.21
131072                445.23
262144                685.32
524288               1268.47
1048576              2333.64
