Defaulted container "flux-osu-efa" out of: flux-osu-efa, flux-view (init)

# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                     148.74
8                     142.04
16                    136.43
32                    155.67
64                    142.52
128                   157.04
256                   141.45
512                   155.93
1024                  144.00
2048                  152.66
4096                  163.16
8192                  183.54
16384                 210.94
32768                 270.64
65536                 323.81
131072               1003.17
262144                652.24
524288               1425.70
1048576              2140.82
