Defaulted container "flux-osu-efa" out of: flux-osu-efa, flux-view (init)
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       1.31
2                       2.81
4                       5.70
8                      11.33
16                     22.81
32                     45.58
64                     84.41
128                   167.94
256                   333.36
512                   656.41
1024                 1242.36
2048                 2142.79
4096                 3717.71
8192                 6155.76
16384                7808.08
32768                9489.65
65536               10711.73
131072              13402.72
262144              13683.29
524288              13903.28
1048576             23379.07
2097152             23820.36
4194304             24105.57
