Defaulted container "flux-osu-efa" out of: flux-osu-efa, flux-view (init)
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      13.24
1                      13.25
2                      13.23
4                      13.24
8                      13.55
16                     13.57
32                     13.58
64                     13.73
128                    13.73
256                    13.78
512                    13.85
1024                   14.03
2048                   14.41
4096                   15.35
8192                   17.40
16384                  18.01
32768                  19.29
65536                  21.82
131072                 55.92
262144                 66.00
524288                116.55
1048576                97.39
2097152               170.63
4194304               265.97
