Defaulted container "flux-osu-efa" out of: flux-osu-efa, flux-view (init)

# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                     162.03
8                     175.17
16                    164.55
32                    172.91
64                    196.08
128                   200.00
256                   171.81
512                   168.07
1024                  179.06
2048                  187.28
4096                  242.09
8192                  268.69
16384                 245.45
32768                 270.31
65536                 394.53
131072                447.03
262144                722.44
524288               1344.19
1048576              2290.05
