Defaulted container "flux-osu-efa" out of: flux-osu-efa, flux-view (init)
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      13.41
1                      13.44
2                      13.41
4                      13.42
8                      13.73
16                     13.74
32                     13.75
64                     13.91
128                    13.92
256                    13.95
512                    14.01
1024                   14.20
2048                   14.58
4096                   15.58
8192                   17.60
16384                  18.27
32768                  19.59
65536                  22.18
131072                 56.57
262144                 66.38
524288                117.23
1048576                97.61
2097152               167.74
4194304               263.85
