Defaulted container "flux-osu-efa" out of: flux-osu-efa, flux-view (init)

# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                     173.58
8                     179.66
16                    169.06
32                    181.70
64                    170.55
128                   178.84
256                   173.53
512                   172.32
1024                  172.63
2048                  179.93
4096                  261.97
8192                  325.29
16384                 270.61
32768                 293.00
65536                 307.77
131072                435.24
262144                758.49
524288               1309.88
1048576              2244.74
