Defaulted container "flux-osu-efa" out of: flux-osu-efa, flux-view (init)

# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                     171.69
8                     204.88
16                    184.28
32                    230.33
64                    169.90
128                   213.29
256                   218.88
512                   199.33
1024                  189.39
2048                  159.95
4096                  266.46
8192                  368.96
16384                 375.09
32768                 384.62
65536                 422.81
131072                675.32
262144                942.47
524288               1623.32
1048576              3068.78
