Defaulted container "flux-osu-efa" out of: flux-osu-efa, flux-view (init)

# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                     143.78
8                     153.73
16                    139.06
32                    144.65
64                    138.74
128                   149.65
256                   152.26
512                   146.02
1024                  139.99
2048                  151.91
4096                  162.02
8192                  189.72
16384                 216.58
32768                 287.45
65536                 347.78
131072               1019.27
262144                782.50
524288               1248.39
1048576              2234.68
