Defaulted container "flux-osu-efa" out of: flux-osu-efa, flux-view (init)
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      12.67
1                      12.69
2                      12.68
4                      12.68
8                      12.99
16                     13.00
32                     13.01
64                     13.15
128                    13.15
256                    13.20
512                    13.25
1024                   13.38
2048                   13.73
4096                   14.62
8192                   16.54
16384                  17.18
32768                  18.53
65536                  21.02
131072                 53.57
262144                 63.54
524288                112.55
1048576                95.28
2097152               163.65
4194304               266.61
