Defaulted container "flux-osu-efa" out of: flux-osu-efa, flux-view (init)

# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      64.18
8                      71.56
16                     66.12
32                     65.80
64                     69.62
128                    66.31
256                    72.82
512                    66.41
1024                   80.57
2048                   75.99
4096                  122.32
8192                  128.46
16384                 159.14
32768                 229.65
65536                 378.54
131072                863.94
262144                608.34
524288               1170.88
1048576              2046.88
