Defaulted container "flux-osu-efa" out of: flux-osu-efa, flux-view (init)
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       1.22
2                       2.70
4                       5.45
8                      10.94
16                     21.96
32                     44.06
64                     82.14
128                   163.88
256                   323.28
512                   636.77
1024                 1196.67
2048                 2105.38
4096                 3610.77
8192                 6058.43
16384                7676.61
32768                9711.11
65536               11354.18
131072              13395.30
262144              13745.81
524288              14000.12
1048576             23325.66
2097152             23710.91
4194304             24122.53
