Defaulted container "flux-osu-efa" out of: flux-osu-efa, flux-view (init)

# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                     183.70
8                     176.13
16                    171.54
32                    190.76
64                    193.32
128                   270.22
256                   218.28
512                   198.18
1024                  197.21
2048                  199.47
4096                  275.27
8192                  278.94
16384                 303.03
32768                 316.93
65536                 329.69
131072                445.78
262144                745.84
524288               1347.90
1048576              2572.82
