Defaulted container "flux-osu-efa" out of: flux-osu-efa, flux-view (init)

# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      67.77
8                      69.80
16                     67.44
32                     75.92
64                     77.61
128                    70.40
256                    77.85
512                    76.31
1024                   70.82
2048                   74.32
4096                  123.08
8192                  135.46
16384                 167.89
32768                 245.65
65536                 423.08
131072                845.65
262144                623.54
524288               1169.25
1048576              2113.83
