Defaulted container "flux-osu-efa" out of: flux-osu-efa, flux-view (init)
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      12.68
1                      12.69
2                      12.68
4                      12.68
8                      12.98
16                     12.99
32                     13.00
64                     13.11
128                    13.12
256                    13.14
512                    13.19
1024                   13.32
2048                   13.67
4096                   14.67
8192                   16.51
16384                  17.18
32768                  18.42
65536                  20.99
131072                 53.59
262144                 63.60
524288                112.64
1048576                95.26
2097152               170.73
4194304               266.27
