Defaulted container "flux-osu-efa" out of: flux-osu-efa, flux-view (init)

# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                     162.94
8                     177.12
16                    173.70
32                    177.34
64                    205.56
128                   175.89
256                   163.58
512                   183.78
1024                  174.13
2048                  202.47
4096                  281.32
8192                  234.19
16384                 261.51
32768                 281.29
65536                 392.44
131072                444.45
262144                700.61
524288               1258.98
1048576              2225.08
