Defaulted container "flux-osu-efa" out of: flux-osu-efa, flux-view (init)

# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                     152.75
8                     142.69
16                    138.74
32                    141.02
64                    153.51
128                   156.51
256                   150.30
512                   145.19
1024                  149.07
2048                  150.97
4096                  164.38
8192                  188.97
16384                 205.32
32768                 279.21
65536                 330.55
131072               1010.90
262144                740.80
524288               1534.59
1048576              2166.14
