Defaulted container "flux-osu-efa" out of: flux-osu-efa, flux-view (init)

# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      68.77
8                      69.84
16                     64.19
32                     65.67
64                     64.80
128                    65.83
256                    69.93
512                    66.19
1024                   70.86
2048                   77.21
4096                  111.93
8192                  136.42
16384                 157.39
32768                 233.15
65536                 380.73
131072                838.44
262144                605.60
524288               1148.01
1048576              2047.19
