Defaulted container "flux-osu-efa" out of: flux-osu-efa, flux-view (init)
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       1.33
2                       2.78
4                       5.62
8                      11.30
16                     22.60
32                     45.21
64                     84.65
128                   168.73
256                   334.62
512                   657.44
1024                 1249.17
2048                 2143.18
4096                 3656.91
8192                 6180.41
16384                7834.35
32768                9845.85
65536               10635.51
131072              13383.22
262144              13737.80
524288              13949.32
1048576             23379.77
2097152             23835.58
4194304             24109.02
