Defaulted container "flux-osu-efa" out of: flux-osu-efa, flux-view (init)
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       1.30
2                       2.74
4                       5.52
8                      11.06
16                     22.19
32                     44.27
64                     83.12
128                   165.07
256                   327.45
512                   644.47
1024                 1209.45
2048                 2114.90
4096                 3657.44
8192                 6082.05
16384                7719.38
32768                9702.10
65536               10713.17
131072              13430.66
262144              13839.67
524288              14015.69
1048576             23327.86
2097152             23734.75
4194304             24120.77
