Defaulted container "flux-osu-efa" out of: flux-osu-efa, flux-view (init)
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       1.41
2                       2.88
4                       6.29
8                      12.35
16                     25.32
32                     50.35
64                     93.41
128                   186.19
256                   368.35
512                   726.75
1024                 1355.92
2048                 2328.77
4096                 3992.26
8192                 6575.38
16384                8094.87
32768                9935.47
65536               11767.94
131072              13480.37
262144              13833.20
524288              13967.11
1048576             23533.56
2097152             23918.46
4194304             24164.86
