Defaulted container "flux-osu-efa" out of: flux-osu-efa, flux-view (init)

# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      66.02
8                      69.26
16                     78.58
32                     73.62
64                     69.05
128                    70.32
256                    71.75
512                    70.36
1024                   72.50
2048                   72.55
4096                  121.03
8192                  129.50
16384                 160.61
32768                 236.17
65536                 382.79
131072                865.05
262144                646.53
524288               1168.13
1048576              2191.52
