Defaulted container "flux-osu-efa" out of: flux-osu-efa, flux-view (init)
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       1.29
2                       2.74
4                       5.54
8                      11.09
16                     22.19
32                     44.47
64                     82.97
128                   166.07
256                   328.12
512                   647.06
1024                 1212.66
2048                 2108.60
4096                 3643.52
8192                 6089.58
16384                7893.13
32768                9577.80
65536               10964.88
131072              13314.83
262144              13750.33
524288              13920.07
1048576             23323.92
2097152             23781.87
4194304             24104.55
