Defaulted container "flux-osu-efa" out of: flux-osu-efa, flux-view (init)

# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      74.17
8                      66.11
16                     69.51
32                     77.38
64                     72.59
128                    68.52
256                    68.21
512                    68.50
1024                   69.11
2048                   71.85
4096                  122.14
8192                  131.48
16384                 171.75
32768                 244.81
65536                 381.09
131072                833.17
262144                657.77
524288               1163.72
1048576              2036.47
