Defaulted container "flux-osu-efa" out of: flux-osu-efa, flux-view (init)

# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                     188.50
8                     192.06
16                    180.75
32                    170.73
64                    183.29
128                   185.89
256                   177.03
512                   187.63
1024                  187.88
2048                  177.55
4096                  269.63
8192                  311.42
16384                 381.33
32768                 404.18
65536                 537.39
131072                786.26
262144                818.06
524288               1352.96
1048576              2573.58
