Defaulted container "flux-osu-efa" out of: flux-osu-efa, flux-view (init)

# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      68.47
8                      65.03
16                     70.12
32                     67.09
64                     65.27
128                    66.37
256                    67.23
512                    67.62
1024                   68.16
2048                   72.48
4096                  122.03
8192                  133.50
16384                 164.41
32768                 230.70
65536                 379.92
131072                846.91
262144                620.22
524288               1143.30
1048576              2380.49
