Defaulted container "flux-osu-efa" out of: flux-osu-efa, flux-view (init)
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      12.67
1                      12.71
2                      12.68
4                      12.68
8                      12.98
16                     13.01
32                     13.02
64                     13.15
128                    13.16
256                    13.20
512                    13.24
1024                   13.39
2048                   13.71
4096                   14.63
8192                   16.52
16384                  17.14
32768                  18.39
65536                  20.93
131072                 53.49
262144                 63.52
524288                112.59
1048576                95.39
2097152               169.03
4194304               267.22
