Defaulted container "flux-osu-efa" out of: flux-osu-efa, flux-view (init)

# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                     124.21
8                     143.72
16                    129.02
32                    138.19
64                    128.34
128                   141.00
256                   135.64
512                   137.38
1024                  137.60
2048                  141.74
4096                  156.40
8192                  182.56
16384                 210.81
32768                 273.17
65536                 321.63
131072                988.50
262144                652.85
524288               1252.42
1048576              2288.82
