Defaulted container "flux-osu-efa" out of: flux-osu-efa, flux-view (init)

# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      63.76
8                      70.69
16                     68.62
32                     69.83
64                     67.94
128                    68.17
256                    67.58
512                    73.01
1024                   69.04
2048                   73.58
4096                  122.49
8192                  129.90
16384                 161.78
32768                 234.06
65536                 406.47
131072                828.07
262144                616.10
524288               1152.31
1048576              2026.52
