Defaulted container "flux-osu-efa" out of: flux-osu-efa, flux-view (init)

# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      64.99
8                      66.20
16                     68.19
32                     86.21
64                     74.87
128                    70.65
256                    67.23
512                    67.74
1024                   73.69
2048                   77.70
4096                  125.27
8192                  146.34
16384                 168.36
32768                 237.61
65536                 381.60
131072                854.05
262144                617.45
524288               1155.12
1048576              2039.19
