Defaulted container "flux-osu-efa" out of: flux-osu-efa, flux-view (init)
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      12.57
1                      12.61
2                      12.59
4                      12.60
8                      12.92
16                     12.93
32                     12.94
64                     13.07
128                    13.09
256                    13.11
512                    13.17
1024                   13.30
2048                   13.64
4096                   14.55
8192                   16.43
16384                  17.12
32768                  18.39
65536                  20.84
131072                 53.53
262144                 63.29
524288                111.96
1048576                95.06
2097152               161.22
4194304               263.90
