Defaulted container "flux-osu-efa" out of: flux-osu-efa, flux-view (init)
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       1.40
2                       2.82
4                       5.72
8                      11.45
16                     22.94
32                     45.86
64                     85.15
128                   170.21
256                   337.86
512                   659.65
1024                 1248.87
2048                 2155.05
4096                 3677.43
8192                 6166.80
16384                7759.09
32768                9482.26
65536               11075.14
131072              13355.38
262144              13693.85
524288              13947.37
1048576             23377.38
2097152             23799.13
4194304             24113.19
