Defaulted container "flux-osu-efa" out of: flux-osu-efa, flux-view (init)

# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      66.81
8                      69.78
16                     68.07
32                     69.08
64                     71.44
128                    68.96
256                    69.25
512                    74.58
1024                   79.24
2048                   73.70
4096                  120.50
8192                  136.93
16384                 168.63
32768                 238.92
65536                 390.86
131072                889.71
262144                623.79
524288               1158.73
1048576              2065.29
