Defaulted container "flux-osu-efa" out of: flux-osu-efa, flux-view (init)
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       1.36
2                       2.79
4                       5.67
8                      11.31
16                     22.79
32                     45.45
64                     84.53
128                   168.95
256                   333.81
512                   659.14
1024                 1224.13
2048                 2151.53
4096                 3668.50
8192                 6148.73
16384                7811.63
32768                9537.30
65536               11163.27
131072              13340.91
262144              13752.40
524288              13925.01
1048576             23381.41
2097152             23828.42
4194304             24126.88
