Defaulted container "flux-osu-efa" out of: flux-osu-efa, flux-view (init)
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       1.31
2                       2.74
4                       5.62
8                      11.22
16                     22.69
32                     45.03
64                     84.28
128                   167.58
256                   333.85
512                   653.17
1024                 1236.21
2048                 2147.58
4096                 3723.12
8192                 6168.11
16384                7981.01
32768                9975.97
65536               11361.26
131072              13331.17
262144              13711.39
524288              13891.70
1048576             23387.66
2097152             23814.54
4194304             24134.40
