Defaulted container "flux-osu-efa" out of: flux-osu-efa, flux-view (init)

# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                     164.58
8                     170.54
16                    168.26
32                    166.98
64                    158.03
128                   155.03
256                   166.11
512                   158.93
1024                  160.03
2048                  168.09
4096                  228.29
8192                  291.03
16384                 355.69
32768                 263.20
65536                 370.34
131072                445.69
262144                750.28
524288               1218.29
1048576              2397.87
