Defaulted container "flux-osu-efa" out of: flux-osu-efa, flux-view (init)

# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                     132.00
8                     144.82
16                    135.54
32                    144.51
64                    147.67
128                   139.74
256                   140.39
512                   158.99
1024                  151.95
2048                  160.33
4096                  178.05
8192                  189.59
16384                 208.81
32768                 268.36
65536                 336.00
131072                988.33
262144                672.00
524288               1386.33
1048576              2210.48
