Defaulted container "flux-osu-efa" out of: flux-osu-efa, flux-view (init)
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      13.36
1                      13.39
2                      13.37
4                      13.35
8                      13.67
16                     13.68
32                     13.70
64                     13.87
128                    13.87
256                    13.89
512                    13.95
1024                   14.14
2048                   14.53
4096                   15.48
8192                   17.51
16384                  18.22
32768                  19.46
65536                  22.00
131072                 56.28
262144                 66.24
524288                117.03
1048576                97.76
2097152               167.77
4194304               269.65
