Defaulted container "flux-osu-efa" out of: flux-osu-efa, flux-view (init)

# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                     142.96
8                     141.30
16                    137.93
32                    138.87
64                    141.31
128                   146.00
256                   140.36
512                   153.92
1024                  145.04
2048                  156.89
4096                  202.60
8192                  185.71
16384                 215.52
32768                 267.44
65536                 318.28
131072                996.19
262144                684.16
524288               1262.25
1048576              2134.37
