Defaulted container "flux-osu-efa" out of: flux-osu-efa, flux-view (init)
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       1.32
2                       2.79
4                       5.64
8                      11.38
16                     22.64
32                     45.39
64                     84.90
128                   168.91
256                   334.74
512                   658.61
1024                 1243.48
2048                 2150.70
4096                 3716.71
8192                 6153.47
16384                7971.67
32768                9857.17
65536               11739.51
131072              13322.75
262144              13706.47
524288              13923.46
1048576             23393.36
2097152             23791.48
4194304             24128.50
