Defaulted container "flux-osu-efa" out of: flux-osu-efa, flux-view (init)

# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      66.87
8                      72.34
16                     69.70
32                     68.51
64                     74.01
128                    74.25
256                    68.79
512                    69.84
1024                   71.30
2048                   74.74
4096                  120.27
8192                  139.33
16384                 167.34
32768                 237.62
65536                 385.90
131072                902.90
262144                627.17
524288               1212.60
1048576              2070.94
