Defaulted container "flux-osu-efa" out of: flux-osu-efa, flux-view (init)
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      12.55
1                      12.58
2                      12.55
4                      12.55
8                      12.87
16                     12.89
32                     12.89
64                     13.03
128                    13.04
256                    13.06
512                    13.13
1024                   13.28
2048                   13.61
4096                   14.51
8192                   16.37
16384                  17.05
32768                  18.31
65536                  20.87
131072                 53.25
262144                 63.15
524288                111.87
1048576                95.06
2097152               167.36
4194304               266.69
