Defaulted container "flux-osu-efa" out of: flux-osu-efa, flux-view (init)
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      12.66
1                      12.68
2                      12.65
4                      12.66
8                      12.97
16                     12.99
32                     12.99
64                     13.13
128                    13.15
256                    13.18
512                    13.22
1024                   13.36
2048                   13.71
4096                   14.64
8192                   16.51
16384                  17.19
32768                  18.50
65536                  21.01
131072                 53.53
262144                 63.43
524288                112.56
1048576                95.23
2097152               169.97
4194304               262.96
