Defaulted container "flux-osu-efa" out of: flux-osu-efa, flux-view (init)
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      12.61
1                      12.63
2                      12.61
4                      12.62
8                      12.93
16                     12.94
32                     12.96
64                     13.09
128                    13.10
256                    13.13
512                    13.16
1024                   13.32
2048                   13.66
4096                   14.57
8192                   16.44
16384                  17.10
32768                  18.33
65536                  20.93
131072                 53.34
262144                 63.57
524288                112.46
1048576                94.99
2097152               162.60
4194304               266.63
