Defaulted container "flux-osu-efa" out of: flux-osu-efa, flux-view (init)

# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                     184.15
8                     214.05
16                    204.79
32                    190.54
64                    272.35
128                   186.27
256                   219.21
512                   208.87
1024                  196.04
2048                  225.36
4096                  262.79
8192                  247.33
16384                 378.05
32768                 435.17
65536                 351.17
131072                598.90
262144                986.84
524288               1489.84
1048576              2415.78
