Defaulted container "flux-osu-efa" out of: flux-osu-efa, flux-view (init)
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      10.11
1                      10.15
2                      10.15
4                      10.15
8                      10.46
16                     10.46
32                     10.46
64                     10.58
128                    10.61
256                    10.62
512                    10.67
1024                   10.79
2048                   11.07
4096                   11.66
8192                   12.84
16384                  13.46
32768                  14.79
65536                  17.32
131072                 43.30
262144                 53.55
524288                 96.28
1048576                87.03
2097152               164.05
4194304               254.93
