Defaulted container "flux-osu-efa" out of: flux-osu-efa, flux-view (init)
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       1.30
2                       2.81
4                       5.73
8                      11.42
16                     22.87
32                     45.97
64                     85.20
128                   170.01
256                   336.83
512                   659.81
1024                 1251.99
2048                 2160.25
4096                 3671.63
8192                 6165.81
16384                7747.79
32768                9468.50
65536               10590.43
131072              13384.92
262144              13739.31
524288              13931.77
1048576             23407.45
2097152             23793.62
4194304             24117.86
