Defaulted container "flux-osu-efa" out of: flux-osu-efa, flux-view (init)
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      13.37
1                      13.40
2                      13.39
4                      13.38
8                      13.69
16                     13.69
32                     13.70
64                     13.87
128                    13.87
256                    13.89
512                    13.96
1024                   14.15
2048                   14.55
4096                   15.51
8192                   17.51
16384                  18.21
32768                  19.39
65536                  21.91
131072                 56.31
262144                 66.26
524288                117.16
1048576                97.49
2097152               168.27
4194304               269.16
