Defaulted container "flux-osu-efa" out of: flux-osu-efa, flux-view (init)

# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                     164.78
8                     222.31
16                    174.55
32                    180.00
64                    189.93
128                   200.44
256                   177.17
512                   168.70
1024                  186.28
2048                  190.36
4096                  237.13
8192                  242.52
16384                 306.07
32768                 403.28
65536                 407.52
131072                456.95
262144                875.03
524288               1483.28
1048576              2308.45
