Defaulted container "flux-osu-efa" out of: flux-osu-efa, flux-view (init)

# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                     165.38
8                     169.60
16                    187.64
32                    163.19
64                    176.99
128                   169.31
256                   176.45
512                   179.18
1024                  191.83
2048                  173.75
4096                  305.84
8192                  295.31
16384                 270.36
32768                 285.46
65536                 446.85
131072                462.40
262144                792.48
524288               1366.56
1048576              2212.69
