Defaulted container "flux-osu-efa" out of: flux-osu-efa, flux-view (init)

# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      63.90
8                      69.77
16                     83.85
32                     65.28
64                     70.63
128                    67.16
256                    68.01
512                    67.57
1024                   67.93
2048                   73.23
4096                  116.63
8192                  127.91
16384                 158.91
32768                 235.27
65536                 388.65
131072                841.65
262144                633.64
524288               1155.76
1048576              2023.18
