Defaulted container "flux-osu-efa" out of: flux-osu-efa, flux-view (init)
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       1.30
2                       2.72
4                       5.50
8                      10.80
16                     22.09
32                     44.03
64                     82.79
128                   164.51
256                   326.45
512                   641.10
1024                 1210.66
2048                 2090.78
4096                 3636.88
8192                 6037.34
16384                7698.96
32768                9503.48
65536               11059.09
131072              13314.58
262144              13713.90
524288              13932.54
1048576             23300.64
2097152             23816.22
4194304             24110.15
