Defaulted container "flux-osu-efa" out of: flux-osu-efa, flux-view (init)
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       1.31
2                       2.79
4                       5.70
8                      11.42
16                     22.71
32                     45.88
64                     85.36
128                   170.28
256                   337.17
512                   661.64
1024                 1249.78
2048                 2157.94
4096                 3756.54
8192                 6171.44
16384                7958.82
32768                9574.83
65536               10728.16
131072              13392.17
262144              13705.93
524288              13912.94
1048576             23356.26
2097152             23848.65
4194304             24146.07
