Defaulted container "flux-osu-efa" out of: flux-osu-efa, flux-view (init)
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      10.31
1                      10.33
2                      10.33
4                      10.32
8                      10.64
16                     10.64
32                     10.65
64                     10.78
128                    10.80
256                    10.81
512                    10.87
1024                   10.98
2048                   11.27
4096                   11.84
8192                   13.03
16384                  13.70
32768                  14.92
65536                  17.51
131072                 44.03
262144                 54.07
524288                 97.14
1048576                87.11
2097152               165.46
4194304               254.36
