Defaulted container "flux-osu-efa" out of: flux-osu-efa, flux-view (init)
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      10.19
1                      10.21
2                      10.20
4                      10.19
8                      10.51
16                     10.52
32                     10.52
64                     10.60
128                    10.62
256                    10.65
512                    10.70
1024                   10.80
2048                   11.04
4096                   11.63
8192                   12.89
16384                  13.46
32768                  14.71
65536                  17.26
131072                 43.31
262144                 53.51
524288                 96.25
1048576                86.61
2097152               161.96
4194304               253.40
