Defaulted container "flux-osu-efa" out of: flux-osu-efa, flux-view (init)

# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                     172.85
8                     189.22
16                    186.56
32                    264.41
64                    187.27
128                   201.74
256                   179.16
512                   200.11
1024                  194.69
2048                  168.55
4096                  267.03
8192                  289.80
16384                 399.54
32768                 478.17
65536                 628.60
131072                576.59
262144                810.97
524288               1741.62
1048576              2520.94
