Defaulted container "flux-osu-efa" out of: flux-osu-efa, flux-view (init)

# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                     168.11
8                     183.04
16                    188.68
32                    172.14
64                    172.88
128                   191.23
256                   184.65
512                   178.71
1024                  192.64
2048                  167.63
4096                  232.85
8192                  325.82
16384                 406.08
32768                 374.49
65536                 381.52
131072                542.48
262144                863.03
524288               1422.14
1048576              2543.37
