
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      88.51
8                      89.30
16                     90.24
32                     88.52
64                     89.09
128                    89.61
256                    91.74
512                    92.82
1024                   94.67
2048                  101.17
4096                  134.63
8192                  139.26
16384                 147.54
32768                 171.66
65536                 172.09
131072                226.97
262144                314.07
524288                495.07
1048576               833.40
